RecordType	SystemIdentity	FileNum	SwitchNum	CallingNum	CallingIMSI	CalledNum	CalledIMSI	DateS	TimeS	TimeType	CallPeriod	CallingCellID	CalledCellID	ServiceType	Transfer	IncomingTrunk	OutgoingTrunk	MSRN	CalledNum2	FCIFlag	callrecTime	EventProcessedUtcTime	PartitionId	EventEnqueuedUtcTime
MO	d0	672	US	234556700	262021390056324	456751764	466921402416657	20220412		1	0			b	0		300	886932429021			2022-04-12T03:39:01Z	2022-04-12T03:40:17.8460715Z	1	2022-04-12T03:39:01.0470000Z
MO	d0	676	Germany	567897165	466922200432822	789026249	466923300507919	20220412		1	0			b	1		300	886932428876			2022-04-12T03:39:01Z	2022-04-12T03:40:17.8460715Z	1	2022-04-12T03:39:01.3750000Z
MO	d0	684	Australia	345663669	466921402416657	123478147	466920400352400	20220412		1	0			V	0		443	1417955696232			2022-04-12T03:39:02Z	2022-04-12T03:40:17.8460715Z	1	2022-04-12T03:39:02.0780000Z
MO	d0	686	Germany	123494837	466921402237651	567854952	466922202613463	20220412		0	0			b	0		609	886937415371			2022-04-12T03:39:02Z	2022-04-12T03:40:17.8460715Z	1	2022-04-12T03:39:02.2340000Z
MO	d0	695	Australia	456747580	466923100098619	789037697	466921602131264	20220412		2	0			a	0		443	886932428306			2022-04-12T03:39:03Z	2022-04-12T03:40:17.8460715Z	1	2022-04-12T03:39:03.0350000Z
MO	d0	698	US	012343337	466922702341485	456738141	466922202613463	20220412		3	0			V	0		420	886932428258			2022-04-12T03:39:03Z	2022-04-12T03:40:17.8460715Z	1	2022-04-12T03:39:03.3320000Z
MO	d0	700	Germany	456754072	466922200432822	345670504	466922002560205	20220412		0	797			a	1		442	886932429021			2022-04-12T03:39:03Z	2022-04-12T03:40:17.8616109Z	1	2022-04-12T03:39:03.4880000Z
MO	d0	107	Germany	678929082	466922202679249	012315500	466922000696024	20220412		2	4			V	0		418	1417955696232			2022-04-12T03:48:06Z	2022-04-12T03:40:17.8616109Z	1	2022-04-12T03:39:03.5500000Z
MO	d0	703	US	345658362	466921402416657	345648772	466923200348594	20220412		3	0			S	1		424	886932429626			2022-04-12T03:39:03Z	2022-04-12T03:40:17.8616109Z	1	2022-04-12T03:39:03.8470000Z
MO	d0	707	Australia	012319979	466923100098619	789091111	466921602343040	20220412		3	0			S	1		F	886932429979			2022-04-12T03:39:04Z	2022-04-12T03:40:17.8616109Z	1	2022-04-12T03:39:04.1600000Z
MO	d0	709	UK	234504867	466922202679249	123416907	466923000886460	20220412		2	0			V	1		402	886932428112			2022-04-12T03:39:04Z	2022-04-12T03:40:17.8616109Z	1	2022-04-12T03:39:04.3160000Z
MO	d0	714	US	789057876	466922000696024	345655099	466921402237651	20220412		2	0			S	0		422	886932428927			2022-04-12T03:39:04Z	2022-04-12T03:40:17.8616109Z	1	2022-04-12T03:39:04.8210000Z
MO	d0	716	Germany	456702510	262021390056324	567827582	466923300236137	20220412		3	0			S	0		609	886932428687			2022-04-12T03:39:04Z	2022-04-12T03:40:17.8616109Z	1	2022-04-12T03:39:04.9780000Z
MO	d0	732	China	012350173	466922202679249	123496518	466922000696024	20220412		0	0			a	1		420				2022-04-12T03:39:06Z	2022-04-12T03:40:17.8616109Z	1	2022-04-12T03:39:06.3060000Z
MO	d0	737	US	456746906	466920401237309	789086138	466921602131264	20220412		1	322			b	1		421	886932428927			2022-04-12T03:39:06Z	2022-04-12T03:40:17.8616109Z	1	2022-04-12T03:39:06.7740000Z
MO	d0	740	Australia		466920401237309		466921602131264	F		0	0			V	0		614	886932429242			0001-01-01T00:00:00	2022-04-12T03:40:17.8616109Z	1	2022-04-12T03:39:07.0870000Z
MO	d0	741	China	456721420	466922200432822	234561336	466922702346260	20220412		1	0			V	0		426	886932429825			2022-04-12T03:39:07Z	2022-04-12T03:40:17.8616109Z	1	2022-04-12T03:39:07.2430000Z
MO	d0	112	China	234582611	466922702341485	123483266	466923200348594	20220412		3	113			a	0		F	1415982715962			2022-04-12T03:40:07Z	2022-04-12T03:40:17.8616109Z	1	2022-04-12T03:39:07.2900000Z
MO	d0	115	Australia	123481459	466921402416657	789040213	466923200348594	20220412		0	986			S	0		300	886932428927			2022-04-12T03:59:07Z	2022-04-12T03:40:17.8616109Z	1	2022-04-12T03:39:07.9790000Z
MO	d0	752	Australia	012389804	466923101048691	789046171	466922002560205	20220412		2	0			b	1		621	1416960750071			2022-04-12T03:39:08Z	2022-04-12T03:40:17.8616109Z	1	2022-04-12T03:39:08.3220000Z
MO	d0	754	US	123434388	466922202679249	012375527	466923101048691	20220412		0	0			b	1		426	886932429155			2022-04-12T03:39:08Z	2022-04-12T03:40:17.8616109Z	1	2022-04-12T03:39:08.4790000Z
MO	d0	756	Australia	123486581	466922000696024	234514028	262021390056324	20220412		3	0			V	1		424	886932429825			2022-04-12T03:39:08Z	2022-04-12T03:40:17.8616109Z	1	2022-04-12T03:39:08.6350000Z
MO	d0	117	Germany	789045639	466922000696024	456726217	466922201102759	20220412		3	276			V	0		426	14290800033338			2022-04-12T03:42:07Z	2022-04-12T03:40:17.8616109Z	1	2022-04-12T03:39:09.1820000Z
MO	d0	764	China	567845043	466922000696024	789054854	466922702346260	20220412		3	0			S	1		614	886932428927			2022-04-12T03:39:09Z	2022-04-12T03:40:17.8616109Z	1	2022-04-12T03:39:09.3380000Z
MO	d0	766	China		466922201102759		466923300507919	F		0	0			S	1		614	886932429242			0001-01-01T00:00:00	2022-04-12T03:40:17.8616109Z	1	2022-04-12T03:39:09.5250000Z
MO	d0	119	US	012344533	466923100098619	234541763	466922202546859	20220412		1	783			S	0		420	886932428112			2022-04-12T04:07:07Z	2022-04-12T03:40:17.8616109Z	1	2022-04-12T03:39:09.9000000Z
MO	d0	771	China	234576509	466921602131264	678910055	466921602131264	20220412		0	0			S	1		609	886932429507			2022-04-12T03:39:10Z	2022-04-12T03:40:17.8616109Z	1	2022-04-12T03:39:10.0720000Z
MO	d0	776	UK	123438691	466920401237309	678996319	466922202546859	20220412		0	0			a	1		623	886932428242			2022-04-12T03:39:10Z	2022-04-12T03:40:17.8616109Z	1	2022-04-12T03:39:10.5570000Z
MO	d0	121	UK	012365455	466921602131264	678923956	466922200432822	20220412		3	779			V	1		614	14290800033338			2022-04-12T04:06:07Z	2022-04-12T03:40:17.8616109Z	1	2022-04-12T03:39:10.6040000Z
MO	d0	780	Germany	012313821	466921402416657	678934033	466922702346260	20220412		0	0			S	0		424	886932429242			2022-04-12T03:39:10Z	2022-04-12T03:40:17.8616109Z	1	2022-04-12T03:39:10.9470000Z
MO	d0	123	Australia	567899708	466922202679249	567894355	466921602343040	20220412		0	521			a	1		411	1415982715962			2022-04-12T03:44:07Z	2022-04-12T03:40:17.8616109Z	1	2022-04-12T03:39:11.3070000Z
MO	d0	790	UK	567802407	262021390056324	456742980	466921602131264	20220412		2	0			a	0		402	886932428242			2022-04-12T03:39:11Z	2022-04-12T03:40:17.8616109Z	1	2022-04-12T03:39:11.9630000Z
MO	d0	795	UK	678949545	466922000696024	789054079	466922202546859	20220412		2	0			S	0		400	886932429626			2022-04-12T03:39:12Z	2022-04-12T03:40:17.8616109Z	1	2022-04-12T03:39:12.4940000Z
MO	d0	801	UK	678964902	466922201102759	456731513	466921402416657	20220412		3	0			V	0		423	886932429979			2022-04-12T03:39:13Z	2022-04-12T03:40:17.8616109Z	1	2022-04-12T03:39:13.0250000Z
MO	d0	803	US	234504260	466922200432822	678927550	466921302209862	20220412		3	529			a	1		443	886932428258			2022-04-12T03:39:13Z	2022-04-12T03:40:17.8616109Z	1	2022-04-12T03:39:13.1820000Z
MO	d0	131	UK	678905073	466922202679249	345674932	466923100098619	20220412		0	314			S	1		418	886932428927			2022-04-12T04:07:08Z	2022-04-12T03:40:17.8616109Z	1	2022-04-12T03:39:13.4160000Z
MO	d0	806	Australia	678945760	466922201102759	567879610	466922202613463	20220412		0	0			a	1		409	886932429242			2022-04-12T03:39:13Z	2022-04-12T03:40:17.8616109Z	1	2022-04-12T03:39:13.5720000Z
MO	d0	818	Germany	456768436	262021390056324	456793122	466922202546859	20220412		0	0			V	1		426	886932428688			2022-04-12T03:39:14Z	2022-04-12T03:40:17.8616109Z	1	2022-04-12T03:39:14.9160000Z
MO	d0	136	Australia	456738578	466921602131264	456714920	466921200135361	20220412		0	502			S	0		614	886932429626			2022-04-12T03:59:09Z	2022-04-12T03:40:17.8616109Z	1	2022-04-12T03:39:14.9630000Z
MO	d0	820	US	123461435	466921402237651	012354629	466921402237651	20220412		3	426			a	1		423	1418986850453			2022-04-12T03:39:15Z	2022-04-12T03:40:17.8616109Z	1	2022-04-12T03:39:15.1350000Z
MO	d0	826	China	456705267	466922702341485	567843077	466923101048691	20220412		0	0			a	0		F	1412930064972			2022-04-12T03:39:15Z	2022-04-12T03:40:17.8616109Z	1	2022-04-12T03:39:15.7600000Z
MO	d0	829	US	456777299	466921402416657	678919775	466922201102759	20220412		3	604			S	1		405	886932429507			2022-04-12T03:39:16Z	2022-04-12T03:40:17.8616109Z	1	2022-04-12T03:39:16.0880000Z
MO	d0	834	UK	789074290	466923100098619	678973724	466922201102759	20220412		3	0			V	1		300	886932428242			2022-04-12T03:39:16Z	2022-04-12T03:40:17.8616109Z	1	2022-04-12T03:39:16.6190000Z
MO	d0	836	Germany	123434130	466920401237309	567884945	466922702346260	20220412		1	0			b	1		623	886932423548			2022-04-12T03:39:16Z	2022-04-12T03:40:17.8616109Z	1	2022-04-12T03:39:16.7750000Z
MO	d0	838	US	123426883	262021390056324	012342957	466922202679249	20220412		2	0			V	1		423	886932429021			2022-04-12T03:39:16Z	2022-04-12T03:40:17.8616109Z	1	2022-04-12T03:39:16.9320000Z
MO	d0	846	Germany	567804874	466922000696024	345647682	466923000886460	20220412		1	186			a	1		420	886932428927			2022-04-12T03:39:17Z	2022-04-12T03:40:17.8616109Z	1	2022-04-12T03:39:17.5610000Z
MO	d0	849	China	456748437	466923100098619	567886337	466923100807296	20220412		1	0			a	1		421	886932428927			2022-04-12T03:39:17Z	2022-04-12T03:40:17.8616109Z	1	2022-04-12T03:39:17.8890000Z
MO	d0	852	China	789063643	466921402237651	456754935	466922202546859	20220412		0	0			a	0		402	886932428306			2022-04-12T03:39:18Z	2022-04-12T03:40:17.8616109Z	1	2022-04-12T03:39:18.2020000Z
MO	d0	854	Germany	678952395	466922201102759	789076084	466923200779222	20220412		1	758			V	0		418	886932428687			2022-04-12T03:39:18Z	2022-04-12T03:40:17.8616109Z	1	2022-04-12T03:39:18.3580000Z
MO	d0	855	Germany		466922000696024		466923300236137	F		1	0			a	0		423	886932428242			0001-01-01T00:00:00	2022-04-12T03:40:17.8616109Z	1	2022-04-12T03:39:18.5770000Z
MO	d0	857	Germany	567853870	466922202679249	456748635	466923100807296	20220412		3	87			S	1		400	886932429242			2022-04-12T03:39:18Z	2022-04-12T03:40:17.8616109Z	1	2022-04-12T03:39:18.9200000Z
MO	d0	860	Australia	456713344	466923101048691	012372939	466920400352400	20220412		0	0			V	1		443	886932428258			2022-04-12T03:39:19Z	2022-04-12T03:40:17.8616109Z	1	2022-04-12T03:39:19.2170000Z
MO	d0	147	US	678950504	466922202679249	123474274	466923101048691	20220412		3	420			a	0		424	886932428242			2022-04-12T03:48:10Z	2022-04-12T03:40:17.8616109Z	1	2022-04-12T03:39:19.2830000Z
MO	d0	868	China	012392587	466922200432822	345651425	466921602343040	20220412		2	0			V	1		409	886932428688			2022-04-12T03:39:19Z	2022-04-12T03:40:17.8616109Z	1	2022-04-12T03:39:19.9080000Z
MO	d0	877	Germany	678950202	466921602131264	012385905	466922002560205	20220412		0	285			S	0		402	886932428112			2022-04-12T03:39:20Z	2022-04-12T03:40:17.8616109Z	1	2022-04-12T03:39:20.7040000Z
MO	d0	150	Australia	789042807	466922201102759	789025759	466923100098619	20220412		3	848			V	0		418	886932428927			2022-04-12T03:47:10Z	2022-04-12T03:40:17.8616109Z	1	2022-04-12T03:39:21.2200000Z
MO	d0	891	Germany	123489648	466922201102759	678962287	466923101048691	20220412		1	184			b	0		426	886932429626			2022-04-12T03:39:22Z	2022-04-12T03:40:17.8616109Z	1	2022-04-12T03:39:22.0250000Z
MO	d0	894	Australia	567870824	466922702341485	012337289	466921200135361	20220412		0	0			b	0		426	886932429155			2022-04-12T03:39:22Z	2022-04-12T03:40:17.8616109Z	1	2022-04-12T03:39:22.3530000Z
MO	d0	899	Australia	456766204	466922201102759	567833544	466922702341485	20220412		2	0			V	0		402	14290800303585			2022-04-12T03:39:22Z	2022-04-12T03:40:17.8616109Z	1	2022-04-12T03:39:22.8220000Z
MO	d0	905	Australia	123494161	466922200432822	345603287	466922200432822	20220412		0	0			b	1		411	1416955584542			2022-04-12T03:39:23Z	2022-04-12T03:40:17.8616109Z	1	2022-04-12T03:39:23.5400000Z
MO	d0	907	Germany	012300171	466922000696024	789066360	466922201102759	20220412		2	93			S	1		609	886937415371			2022-04-12T03:39:23Z	2022-04-12T03:40:17.8616109Z	1	2022-04-12T03:39:23.6970000Z
MO	d0	912	Germany	567834811	466922702341485	456707760	262021390056324	20220412		2	0			b	1		422	1416955584542			2022-04-12T03:39:24Z	2022-04-12T03:40:17.8616109Z	1	2022-04-12T03:39:24.1650000Z
MO	d0	916	Germany	123486296	466922201102759	123482266	466923100098619	20220412		1	0			V	0		623	886932429626			2022-04-12T03:39:24Z	2022-04-12T03:40:17.8616109Z	1	2022-04-12T03:39:24.4780000Z
MO	d0	920	UK	678952970	466922202679249	789041933	466921602343040	20220412		2	336			V	0		419	886932429827			2022-04-12T03:39:24Z	2022-04-12T03:40:17.8616109Z	1	2022-04-12T03:39:24.8530000Z
MO	d0	158	Australia	012302870	466922202679249	345676054	466921602343040	20220412		3	29			a	1		F	1417955696232			2022-04-12T03:48:11Z	2022-04-12T03:40:17.8616109Z	1	2022-04-12T03:39:25.2120000Z
MO	d0	927	China	234529296	466921602131264	456729767	466923000886460	20220412		2	0			b	1		421	1416955584542			2022-04-12T03:39:25Z	2022-04-12T03:40:17.8616109Z	1	2022-04-12T03:39:25.5560000Z
MO	d0	929	UK	567809037	466921402416657	345643815	466921302209862	20220412		0	0			S	0		426	886932428688			2022-04-12T03:39:25Z	2022-04-12T03:40:17.8616109Z	1	2022-04-12T03:39:25.7120000Z
MO	d0	931	Australia	567897748	466921402237651	012314863	466921602343040	20220412		3	250			V	1		402	886932429242			2022-04-12T03:39:25Z	2022-04-12T03:40:17.8616109Z	1	2022-04-12T03:39:25.8840000Z
MO	d0	940	UK	234597252	466922201102759	123443853	466921302209862	20220412		0	0			S	0		623	1415980332015			2022-04-12T03:39:26Z	2022-04-12T03:40:17.8616109Z	1	2022-04-12T03:39:26.7430000Z
MO	d0	944	Germany	567894751	466922000696024	234528048	466923200779222	20220412		3	0			b	0		609	886932428927			2022-04-12T03:39:27Z	2022-04-12T03:40:17.8616109Z	1	2022-04-12T03:39:27.0560000Z
MO	d0	946	UK	123464945	466922200432822	789006996	466922201102759	20220412		1	0			S	1		423	886932428306			2022-04-12T03:39:27Z	2022-04-12T03:40:17.8616109Z	1	2022-04-12T03:39:27.2750000Z
MO	d0	948	US	678939217	466920401237309	456757298	466920401237309	20220412		0	0			V	1		424	1417955696232			2022-04-12T03:39:27Z	2022-04-12T03:40:17.8616109Z	1	2022-04-12T03:39:27.4310000Z
MO	d0	954	Australia	345654380	466922202679249	345677957	466923100807296	20220412		1	0			S	1		F	1415982715962			2022-04-12T03:39:28Z	2022-04-12T03:40:17.8616109Z	1	2022-04-12T03:39:28.0720000Z
MO	d0	957	Australia	345644882	466923100098619	678935658	466923100098619	20220412		2	228			a	0		402	886932428306			2022-04-12T03:39:28Z	2022-04-12T03:40:17.8616109Z	1	2022-04-12T03:39:28.3850000Z
MO	d0	958	China	234548880	466920401237309	567897012	466923200348594	20220412		3	0			b	0		443	886932428687			2022-04-12T03:39:28Z	2022-04-12T03:40:17.8616109Z	1	2022-04-12T03:39:28.5410000Z
MO	d0	962	US		466922200432822		466922202546859	F		2	0			a	0		623	886932428688			0001-01-01T00:00:00	2022-04-12T03:40:17.8616109Z	1	2022-04-12T03:39:28.9160000Z
MO	d0	963	China		466922000696024		466922202679249	F		3	0			V	0		623	886932429155			0001-01-01T00:00:00	2022-04-12T03:40:17.8616109Z	1	2022-04-12T03:39:29.0730000Z
MO	d0	166	Australia	234523809	466922000696024	789025935	466921200135361	20220412		1	706			S	1		443	886932428876			2022-04-12T03:45:12Z	2022-04-12T03:40:17.8616109Z	1	2022-04-12T03:39:29.4540000Z
MO	d0	969	China	789059488	466922000696024	234556625	466920403025604	20220412		2	578			a	0		400	886932429242			2022-04-12T03:39:29Z	2022-04-12T03:40:17.8616109Z	1	2022-04-12T03:39:29.7670000Z
MO	d0	970	UK	456752812	466921402416657	234549982	466922002560205	20220412		2	0			b	0		421	886932428688			2022-04-12T03:39:29Z	2022-04-12T03:40:17.8616109Z	1	2022-04-12T03:39:29.9230000Z
MO	d0	972	US	456769246	466921402237651	234510297	466923300236137	20220412		0	0			a	0		442	1412930064972			2022-04-12T03:39:30Z	2022-04-12T03:40:17.8616109Z	1	2022-04-12T03:39:30.0950000Z
MO	d0	976	Germany	345675147	466921602131264	012387913	466923300236137	20220412		0	0			b	0		402	886932428242			2022-04-12T03:39:30Z	2022-04-12T03:40:17.8616109Z	1	2022-04-12T03:39:30.4700000Z
MO	d0	982	UK	012340173	466923100098619	345613283	466922201102759	20220412		0	0			S	1		614	14290800303585			2022-04-12T03:39:30Z	2022-04-12T03:40:17.8616109Z	1	2022-04-12T03:39:30.9700000Z
MO	d0	984	US		466921602131264		466922000696024	F		1	0			V	1		621	1415980332015			0001-01-01T00:00:00	2022-04-12T03:40:17.8616109Z	1	2022-04-12T03:39:31.1420000Z
MO	d0	986	Germany	789002688	466921402237651	123443022	466921200135361	20220412		1	0			a	1		424	886932428258			2022-04-12T03:39:31Z	2022-04-12T03:40:17.8616109Z	1	2022-04-12T03:39:31.4390000Z
MO	d0	991	UK	456743824	262021390056324	789083192	466921402416657	20220412		0	0			b	1		443	886932429827			2022-04-12T03:39:31Z	2022-04-12T03:40:17.8616109Z	1	2022-04-12T03:39:31.9860000Z
MO	d0	173	China	234519999	466922200432822	012354476	466923000464324	20220412		1	115			S	0		F	886932428687			2022-04-12T03:45:13Z	2022-04-12T03:40:17.8616109Z	1	2022-04-12T03:39:32.2040000Z
MO	d0	997	US	345632460	466922000696024	234589234	466922201102759	20220412		1	0			b	1		418	14290800303585			2022-04-12T03:39:32Z	2022-04-12T03:40:17.8616109Z	1	2022-04-12T03:39:32.5320000Z
MO	d0	177	US	012349286	466922000696024	234581819	466920401237309	20220412		2	264			S	1		421	886932428876			2022-04-12T04:02:13Z	2022-04-12T03:40:17.8616109Z	1	2022-04-12T03:39:32.8450000Z
MO	d0	182	US	345662163	466921402237651	789096393	466922202546859	20220412		2	433			b	0		623	886932429825			2022-04-12T03:45:14Z	2022-04-12T03:40:17.8616109Z	1	2022-04-12T03:39:32.8920000Z
MO	d0	188	China	678958967	466923100098619	234591372	466920403025604	20220412		0	955			a	0		420	1416955584542			2022-04-12T03:52:14Z	2022-04-12T03:40:17.8616109Z	1	2022-04-12T03:39:33.0010000Z
MO	d0	193	US	678934646	466922000696024	234533919	466922202613463	20220412		2	785			b	0		411	1412930064972			2022-04-12T04:02:15Z	2022-04-12T03:40:17.8616109Z	1	2022-04-12T03:39:33.0950000Z
MO	d0	195	UK	789000406	466921602131264	345623613	466923000886460	20220412		0	685			a	0		409	886932428258			2022-04-12T03:48:15Z	2022-04-12T03:40:17.8616109Z	1	2022-04-12T03:39:33.1570000Z
MO	d0	203	Germany	012336315	262021390056324	789030094	466921200135361	20220412		2	426			b	0		F	886932423548			2022-04-12T03:52:16Z	2022-04-12T03:40:17.8616109Z	1	2022-04-12T03:39:33.3140000Z
MO	d0	211	US	567870382	466922201102759	789051607	466923100098619	20220412		0	961			S	0		402	1415982715962			2022-04-12T03:43:17Z	2022-04-12T03:40:17.8616109Z	1	2022-04-12T03:39:33.5010000Z
MO	d0	213	Australia	789010274	466921602131264	234565824	466921602343040	20220412		0	835			a	1		409	886932428134			2022-04-12T03:55:17Z	2022-04-12T03:40:17.8616109Z	1	2022-04-12T03:39:33.5640000Z
MO	d0	221	China	345668491	466922202679249	345604165	466923100807296	20220412		1	235			V	0		442	886932428876			2022-04-12T03:47:18Z	2022-04-12T03:40:17.8616109Z	1	2022-04-12T03:39:33.7200000Z
MO	d0	230	US	678945597	466923101048691	234533149	466922702346260	20220412		1	650			V	1		402	886932429507			2022-04-12T03:51:19Z	2022-04-12T03:40:17.8616109Z	1	2022-04-12T03:39:33.9230000Z
MO	d0	242	US	123447168	466921402416657	789047348	466923200779222	20220412		2	965			a	1		418	886932423548			2022-04-12T04:04:20Z	2022-04-12T03:40:17.8616109Z	1	2022-04-12T03:39:34.2360000Z
MO	d0	246	China	234547596	466923101048691	789009148	466921302209862	20220412		0	719			b	1		418	886932428112			2022-04-12T03:49:20Z	2022-04-12T03:40:17.8616109Z	1	2022-04-12T03:39:34.3450000Z
MO	d0	261	US	123475908	466920401237309	567882259	466923200408045	20220412		0	420			b	0		300	14290800303585			2022-04-12T03:38:21Z	2022-04-12T03:40:17.8616109Z	1	2022-04-12T03:39:34.6570000Z
MO	d0	271	China	123467527	466923101048691	012333340	466922702341485	20220412		2	578			V	1		421	886937415371			2022-04-12T03:42:22Z	2022-04-12T03:40:17.8616109Z	1	2022-04-12T03:39:34.8640000Z
MO	d0	279	US	234593313	466922702341485	234549807	466921200135361	20220412		3	646			S	1		442	886932428927			2022-04-12T03:56:23Z	2022-04-12T03:40:17.8616109Z	1	2022-04-12T03:39:35.0020000Z
MO	d0	281	China	123437656	466923101048691	789011388	466921602343040	20220412		0	281			b	1		609	1416955584542			2022-04-12T03:48:23Z	2022-04-12T03:40:17.8616109Z	1	2022-04-12T03:39:35.0640000Z
MO	d0	283	UK	678994637	466922200432822	789078885	466922702341485	20220412		3	325			S	0		418	1417955696232			2022-04-12T03:46:24Z	2022-04-12T03:40:17.8616109Z	1	2022-04-12T03:39:35.1110000Z
MO	d0	306	US	234587126	466921602131264	012331866	466923100098619	20220412		3	435			b	1		424	886932429507			2022-04-12T04:00:26Z	2022-04-12T03:40:17.8616109Z	1	2022-04-12T03:39:35.5800000Z
MO	d0	321	Australia	678960321	466921402237651	234578215	466923100098619	20220412		2	982			a	1		425	14290800303585			2022-04-12T04:00:27Z	2022-04-12T03:40:17.8616109Z	1	2022-04-12T03:39:35.8920000Z
MO	d0	336	Australia	678900497	466920401237309	012340075	466923100098619	20220412		2	927			S	0		400	886932428927			2022-04-12T04:04:29Z	2022-04-12T03:40:17.8616109Z	1	2022-04-12T03:39:36.2700000Z
MO	d0	338	US	234579210	466921402237651	123471051	466923100807296	20220412		0	819			a	0		420	886932428927			2022-04-12T03:53:29Z	2022-04-12T03:40:17.8616109Z	1	2022-04-12T03:39:36.3170000Z
MO	d0	345	UK	123454749	466920401237309	567851883	466923300507919	20220412		2	789			b	1		418	1416955584542			2022-04-12T03:53:30Z	2022-04-12T03:40:17.8616109Z	1	2022-04-12T03:39:36.4260000Z
MO	d0	352	Australia	012321318	466921402237651	012301273	466923300236137	20220412		1	981			S	1		400	886932429827			2022-04-12T03:54:30Z	2022-04-12T03:40:17.8616109Z	1	2022-04-12T03:39:36.5670000Z
MO	d0	357	UK	789069092	466922202679249	234515728	466923100807296	20220412		3	447			a	1		422	886932428927			2022-04-12T03:55:31Z	2022-04-12T03:40:17.8616109Z	1	2022-04-12T03:39:36.6760000Z
MO	d0	359	Australia	456708239	466922000696024	345688669	466923000886460	20220412		2	987			b	0		419	886937415371			2022-04-12T03:59:31Z	2022-04-12T03:40:17.8616109Z	1	2022-04-12T03:39:36.7230000Z
MO	d0	363	China	345697429	466922702341485	456719116	466922202546859	20220412		1	824			b	0		402	1412930064972			2022-04-12T03:46:31Z	2022-04-12T03:40:17.8616109Z	1	2022-04-12T03:39:36.8170000Z
MO	d0	373	Germany	234575457	466922200432822	123404577	466921402237651	20220412		2	786			a	0		426	886932429827			2022-04-12T04:00:32Z	2022-04-12T03:40:17.8616109Z	1	2022-04-12T03:39:37.0980000Z
MO	d0	375	Germany	123490167	466921402416657	678996099	466921602343040	20220412		3	635			a	1		443	886932428688			2022-04-12T04:01:32Z	2022-04-12T03:40:17.8616109Z	1	2022-04-12T03:39:37.1610000Z
MO	d0	385	China	012367296	466921402237651	012318891	466922000696024	20220412		1	571			b	0		421	886932428687			2022-04-12T03:50:33Z	2022-04-12T03:40:17.8616109Z	1	2022-04-12T03:39:37.3640000Z
MO	d0	388	Germany	012317171	466923101048691	123498730	466923100807296	20220412		1	717			a	0		405	886932428876			2022-04-12T04:06:34Z	2022-04-12T03:40:17.8616109Z	1	2022-04-12T03:39:37.4260000Z
MO	d0	397	Australia	789093658	466922201102759	234508394	466923100807296	20220412		0	904			V	1		621	14290800033338			2022-04-12T03:53:34Z	2022-04-12T03:40:17.8616109Z	1	2022-04-12T03:39:37.6600000Z
